EventID,Timestamp,Time,Direction,Coord1,Coord2,Direction2,Coord3,Coord4
26517,345868956,1732262923.597126,'Left',158.3755726336999,-120.417099,,,
26518,345877217,1732262923.60607,'Left',159.31027023408507,-119.936584,,,
26519,345885879,1732262923.614282,'Left',160.97058962866467,-119.582199,,,
26520,345894041,1732262923.622589,'Left',162.01872397708144,-119.283508,,,
26521,345902464,1732262923.631244,'Left',162.46282659090514,-119.016617,,,
26522,345910914,1732262923.639523,'Left',162.73820954252835,-118.834702,,,
26523,345919297,1732262923.64731,'Left',163.08387121337583,-118.646606,,,
26524,345927490,1732262923.656608,'Left',163.5628601687378,-118.562332,,,
26525,345936204,1732262923.664659,'Left',163.70027941549463,-118.57959,,,
26526,345944273,1732262923.672719,'Left',163.78646964091166,-118.614639,,,
26527,345952778,1732262923.681221,'Left',163.74778354097583,-118.726746,,,
26528,345961779,1732262923.691002,'Left',163.80802489208935,-118.961166,,,
26529,345969850,1732262923.698401,'Left',163.69009653725865,-119.329468,,,
26530,345977749,1732262923.707463,'Left',163.4675048882912,-119.664993,,,
26531,345986360,1732262923.715696,'Left',163.02875185665917,-120.002213,,,
26532,345994618,1732262923.723039,'Left',162.4282227694696,-120.326187,,,
26533,346003460,1732262923.73202,'Left',161.57918875326217,-120.589981,,,
26534,346011436,1732262923.739434,'Left',160.7125470496869,-120.878754,,,
26535,346019694,1732262923.748425,'Left',159.82533417294266,-121.170532,,,
26536,346028085,1732262923.759451,'Left',158.7628444370965,-121.58786,,,
26537,346036738,1732262923.766128,'Left',157.08967207133028,-122.223892,,,
26538,346044913,1732262923.773501,'Left',154.88195365683484,-122.829575,,,
26539,346053169,1732262923.781286,'Left',152.6270424827783,-123.537399,,,
26540,346061848,1732262923.790832,'Left',149.869338367372,-124.239227,,,
26541,346070057,1732262923.799293,'Left',146.37210785371076,-124.990341,,,
26542,346078509,1732262923.806719,'Left',142.26239126527292,-125.533386,,,
26543,346086751,1732262923.815651,'Left',137.06226033831314,-126.087769,,,
26544,346095216,1732262923.8243,'Left',132.32900722059054,-126.714981,,,
26545,346103579,1732262923.831729,'Left',126.34018241854564,-127.623734,,,
26546,346111923,1732262923.841108,'Left',120.15492544429954,-128.403458,,,
26547,346120361,1732262923.849712,'Left',114.5199800390359,-129.536316,,,
26548,346128766,1732262923.857132,'Left',109.76396493939448,-130.87561,,,
26549,346137100,1732262923.865373,'Left',105.72602838512421,-132.366486,,,
